#Schema Version : 1.05.41.00,,,,,,,,,,,
#Populated DB Version : 01.26.02.00 (see the PopHistory.csv for details),,,,,,,,,,,
#Populated Date : 2026-01-27 09:04:44,,,,,,,,,,,
#ID,Attr0/Name/Ridx,Attr0/Name/Label,Attr0/UpLink/ParentClass,Attr0/UpLink/ParentObject,Area/IndirectLink/ObjectID,GenType/IndirectLink/ObjectID,Owner/IndirectLink/ObjectID,HighWaterLevel/Value/Value,LowWaterLevel/Value/Value,EQUTY/Indirect/ParentID,EQUTY/Indirect/ObjectID
1,ADU,안덕SS,3,1,2,0,0,0,0,58,18
2,BCJ,제주TPDP,3,1,2,17,3,0,0,58,18
3,DJE,동제주SS,3,1,2,0,0,0,0,58,18
4,HRA,한라SS,3,1,2,0,0,0,0,58,18
5,HRM,한림CC,3,1,2,7,5,0,0,58,18
6,NCJ,남제주TP,3,1,2,17,5,0,0,58,18
7,SES,성산SS,3,1,2,0,0,0,0,58,18
8,SJJ,신제주SS,3,1,2,0,0,0,0,58,18
9,SNS,신서귀SS,3,1,2,0,0,0,0,58,18
10,SZI,산지SS,3,1,2,0,0,0,0,58,18
11,HAR,한림SS,3,1,2,26,11,0,0,58,18
12,JCH,조천SS,3,1,2,0,0,0,0,58,18
13,CAR,차룡SS,3,2,1,0,0,0,0,58,18
14,CGG,창공SS,3,2,1,0,0,0,0,58,18
15,CLS,칠서SS,3,2,1,0,0,0,0,58,18
16,TGY,통영SS,3,2,1,0,0,0,0,58,18
17,CNG,창녕SS,3,2,1,0,0,0,0,58,18
18,COD,초동SS,3,2,1,0,0,0,0,58,18
19,ERY,의령PO,3,2,1,25,11,0,0,58,18
20,GCG,거창SS,3,2,1,29,10,0,0,58,18
21,GEY,개양SS,3,2,1,29,10,0,0,58,18
22,GJE,거제SS,3,2,1,29,10,0,0,58,18
23,GOS,고성SS,3,2,1,29,10,0,0,58,18
24,GRY,구룡SS,3,2,1,29,10,0,0,58,18
25,GYA,가야SS,3,2,1,29,10,0,0,58,18
26,HAC,합천SS,3,2,1,0,0,0,0,58,18
27,HBC,합천HP,3,2,1,2,7,0,0,58,18
28,HDG,하동TP,3,2,1,16,5,0,0,58,18
29,HDO,하동SS,3,2,1,0,0,0,0,58,18
30,HMY,함양SS,3,2,1,25,11,0,0,58,18
31,IHY,이현SS,3,2,1,0,0,0,0,58,18
32,JHE,진해SS,3,2,1,0,0,0,0,58,18
33,JIJ,진주SS,3,2,1,0,0,0,0,58,18
34,JND,진동SS,3,2,1,0,0,0,0,58,18
35,JYG,진영SS,3,2,1,0,0,0,0,58,18
36,MCN,마천SS,3,2,1,29,10,0,0,58,18
37,MSN,마산SS,3,2,1,29,10,0,0,58,18
38,MYG,밀양SS,3,2,1,29,10,0,0,58,18
39,NHE,남해SS,3,2,1,29,10,0,0,58,18
40,SAC,사천SS,3,2,1,29,10,0,0,58,18
41,SCE,산청PP,3,2,1,4,1,676.5,635,58,18
42,SCL,수출SS,3,2,1,29,10,0,0,58,18
43,SCP,삼천포SS,3,2,1,29,10,0,0,58,18
44,SEM,서마산SS,3,2,1,29,10,0,0,58,18
45,SGH,신김해PO,3,2,1,0,0,0,0,58,18
46,SGO,신고성PO,3,2,1,0,0,0,0,58,18
47,SMJ,삼정SS,3,2,1,29,10,0,0,58,18
48,SMS,신마산PO,3,2,1,0,0,0,0,58,18
49,SWL,신월SS,3,2,1,29,10,0,0,58,18
50,WAM,완암SS,3,2,1,0,0,0,0,58,18
51,WLR,월림SS,3,2,1,0,0,0,0,58,18
52,ANJ,안정SS,3,2,1,0,0,0,0,58,18
53,JGY,장유SS,3,2,1,0,0,0,0,58,18
54,JRI,중리SS,3,2,1,0,0,0,0,58,18
55,SC2,삼천포TP,3,2,1,16,2,0,0,58,18
56,SC3,삼천포2TP,3,2,1,16,2,0,0,58,18
57,AJU,아주SS,3,2,1,0,0,0,0,58,18
58,SAN,산청SS,3,2,1,29,10,0,0,58,18
59,ANM,안민SS,3,2,1,0,0,0,0,58,18
60,TJG,TJG,3,2,1,0,0,0,0,58,18
61,DEU,동읍SS,3,2,1,29,10,0,0,58,18
62,SAA,사남SS,3,2,1,29,10,0,0,58,18
63,ADG,안동HP,3,16,1,2,7,0,0,58,18
64,AND,안동SS,3,16,1,0,0,0,0,58,18
65,ASI,안심SS,3,3,1,0,0,0,0,58,18
66,BDG,봉덕SS,3,3,1,0,0,0,0,58,18
67,BML,범물SS,3,3,1,0,0,0,0,58,18
68,BPH,북포항SS,3,3,1,0,0,0,0,58,18
69,BYW,반야월SS,3,3,1,0,0,0,0,58,18
70,CDO,청도SS,3,3,1,0,0,0,0,58,18
71,CGO,칠곡SS,3,3,1,0,0,0,0,58,18
72,CHB,천북SS,3,3,1,0,0,0,0,58,18
73,CSA,침산SS,3,3,1,0,0,0,0,58,18
74,DIN,동인SS,3,3,1,0,0,0,0,58,18
75,DLS,달서SS,3,3,1,0,0,0,0,58,18
