lat_g,lon_g
38.6485,128.3182
38.5899,128.2273
38.4141,128.1818
38.297,128.0909
38.3556,127.0909
37.9455,126.5909
37.8283,126.5909
37.8283,126.2273
37.7697,126.1818
37.5354,126.4091
37.4768,126.3182
37.4182,126.3636
37.4182,126.5909
37.301,126.6364
37.1838,126.4091
37.1838,126.6364
37.0667,126.7273
37.0067,126.4091
36.8323,126.0909
36.7737,126.0909
36.7152,126.0909
36.6566,126.1818
36.6566,126.2727
36.4808,126.3182
36.3636,126.3636
36.3636,126.5
36.1879,126.5
36.1293,126.4545
36.0121,126.6364
35.9535,126.5
35.8364,126.6818
35.6606,126.4545
35.4848,126.4545
35.2505,126.3182
35.1919,126.3182
35.1333,126.0909
35.0747,126.0455
35.0162,126.1364
35.0162,126.3182
34.9576,126.2727
34.9576,126.0455
34.7232,125.8636
34.3131,126.1818
34.4303,126.4091
34.2545,126.5455
34.2545,126.8182
34.5475,127.0455
34.4303,127.1364
34.4303,127.3636
34.6646,127.7273
34.7818,127.7727
34.6646,127.9091
34.6646,128.0455
34.8404,128.0909
34.8404,128.3182
34.7232,128.4091
34.7232,128.5455
34.6646,128.5909
34.7818,128.7727
35.0162,128.7727
34.9576,128.8182
35.0162,128.8636
35.0162,129
35.1919,129.2727
35.3091,129.2727
35.3091,129.3636
35.4263,129.3636
35.4848,129.4545
35.7192,129.5
36.0121,129.5909
36.1293,129.5455
36.0121,129.4545
36.6566,129.4545
36.7152,129.5
37.0081,129.4545
37.2424,129.3636
37.7697,129
38.2384,128.5909
38.6485,128.3636
38.6485,128.3182
