CRTTIME,STNAVGVOLT,STNAVGVOLT_MEA,STNIDX,STNLABEL,STNLATITUDE,STNLONGITUDE,STNMAXVOLT,STNMAXVOLT_MEA,STNMINVOLT,STNMINVOLT_MEA,STNNOMINALVOLT,STNRIDX
2025-11-20 20:46:18,1.046229,1.0,1171,Ã·´ÜSS,35.237038,126.830345,1.046229,1.0,1.046229,1.0,154.0,CMD
2025-11-20 20:46:18,1.041484,1.0,1168,³«¿ùÇØ»óÇ³·Â,35.20216,126.137611,1.041484,1.0,1.041484,1.0,154.0,NHW
2025-11-20 20:46:18,1.034166,1.0,1166,´çÁøÇàº¹¼Ö¶ó,36.983059,126.400528,1.034166,1.0,1.034166,1.0,154.0,DHS
2025-11-20 20:46:17,1.033104,1.031656,1165,´ë»ê°³Æó¼Ò,36.983059,126.400528,1.033104,1.031656,1.033104,1.031656,154.0,DASN
2025-11-20 20:46:17,1.032527,1.0,1164,±¸¹ÌCC,36.200516,128.423813,1.032527,1.0,1.032527,1.0,154.0,GUM
2025-11-20 20:46:17,1.041484,1.037013,1163,¼­È«³ó°³Æó¼Ò,35.387142,126.411896,1.041484,1.037013,1.041484,1.037013,154.0,WHN
2025-11-20 20:46:17,1.040426,1.046591,1151,Áßµ¿ÅºSS,37.179596,127.111229,1.040426,1.046591,1.040426,1.046591,154.0,JDT
2025-11-20 20:46:17,1.031393,1.0,1150,ÃæÁÖ¿¡ÄÚÆÄÅ©,37.018715,127.803596,1.031393,1.0,1.031393,1.0,154.0,CJE
2025-11-20 20:46:17,1.045668,1.051136,1149,Èñ°îSS,36.955067,126.872803,1.045668,1.051136,1.045668,1.051136,154.0,HEG
2025-11-20 20:46:17,1.030676,1.037825,1148,¼ÒÁ¤SS,36.714867,127.193344,1.030676,1.037825,1.030676,1.037825,154.0,SOJG
2025-11-20 20:46:17,1.032187,1.0,1147,ÀÓÇÏ¼ö»óÅÂ¾ç,36.524742,128.83107,1.032187,1.0,1.032187,1.0,154.0,IHS
2025-11-20 20:46:17,1.028665,1.028571,1146,¼¼»êSS,35.142071,128.873978,1.028665,1.028571,1.028665,1.028571,154.0,SESN
2025-11-20 20:46:17,1.009973,1.015188,1145,¸éºÀ»êÇ³·Â,36.198471,128.97995,1.009973,1.015188,1.009973,1.015188,345.0,MBS
2025-11-20 20:46:17,1.029098,1.035815,1142,½ÅÃ»ÁÖPO,36.585026,127.37001,1.029098,1.035815,1.029098,1.035815,345.0,SCJU
2025-11-20 20:46:17,1.031224,1.032467,1141,¼®°èSS,35.407482,129.075211,1.031224,1.032467,1.031224,1.032467,154.0,SUK
2025-11-20 20:46:17,1.032062,1.0,1136,ÅÂ¾ÈÇÞµé¿ø,36.823406,126.257156,1.032062,1.0,1.032062,1.0,154.0,THO
2025-11-20 20:46:17,1.040655,1.034091,1134,´ëµ¿SS,35.267849,129.003632,1.040655,1.034091,1.040655,1.034091,154.0,DDN
2025-11-20 20:46:17,1.03929,1.042208,1133,Á¤ÃÌSS,35.132694,128.096115,1.039293,1.042532,1.039286,1.041883,154.0,JCO
2025-11-20 20:46:17,1.028423,1.038149,1130,¿µ½ÅSS,34.595364,126.642654,1.028423,1.038149,1.028423,1.038149,154.0,YSI
2025-11-20 20:46:17,1.03441,1.035877,1129,¼Ò¼ºSS,35.574371,126.800926,1.03441,1.035877,1.03441,1.035877,154.0,SSE
2025-11-20 20:46:17,1.033003,1.03348,1128,´ëÈ£È£¼ö»óÅÂ¾ç,36.977436,126.416122,1.033003,1.03348,1.033003,1.03348,154.0,DHO
2025-11-20 20:46:17,1.053985,1.059578,1127,È²±Ý°³Æó¼Ò,34.910259,127.622963,1.053985,1.059578,1.053985,1.059578,154.0,HGM
2025-11-20 20:46:17,1.046116,1.045481,1126,Ã»ÁÖ¿­º´ÇÕ,36.637016,127.469673,1.046116,1.045481,1.046116,1.045481,154.0,CJC
2025-11-20 20:46:17,1.035133,1.042857,1125,µ¿ºÎ¾ÈSS,35.703751,126.786278,1.035133,1.042857,1.035133,1.042857,154.0,DBA
2025-11-20 20:46:17,1.038338,1.0,1124,ºñ±ÝÁÖ¹ÎÅÂ¾ç,34.742256,126.130875,1.038338,1.0,1.038338,1.0,154.0,BIG
2025-11-20 20:46:17,1.024717,1.045142,1119,µ¿Á¦ÁÖCS,33.535019,126.600708,1.024717,1.045142,1.024717,1.045142,154.0,DJC_V
2025-11-20 20:46:17,1.037313,1.053896,1118,Àü³²ÇØ»óÇ³·Â,34.837189,126.124474,1.037313,1.053896,1.037313,1.053896,154.0,JHP
2025-11-20 20:46:17,1.037314,1.053247,1117,½Å¾ÈSS,34.837189,126.124474,1.037314,1.053247,1.037314,1.053247,154.0,SIA
2025-11-20 20:46:17,1.038296,1.049675,1116,À¾µ¿SS,34.754017,126.126762,1.038296,1.049675,1.038296,1.049675,154.0,EDG
2025-11-20 20:46:17,1.012129,1.007737,1115,Çö´ë±×¸°ÆÄ¿ö,36.004215,129.376541,1.012129,1.007737,1.012129,1.007737,345.0,HGP
2025-11-20 20:46:17,1.036025,1.040909,1114,À½¼ºÃµ¿¬°¡½º,36.925179,127.704666,1.036025,1.040909,1.036025,1.040909,154.0,ENG
